,ActivityId,AutoScalingGroupName,Description,Cause,StartTime,EndTime,StatusCode
23,fc95d493-6482-fc36-0d1c-41701c05632f,scalingGroup,Launching a new EC2 instance: i-042aeb4e0ba6d32c1,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.88,1602641043.0,Successful
24,7315d493-6481-4884-49a4-7c5a8497aa22,scalingGroup,Launching a new EC2 instance: i-05f2bbd283284ae1c,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.77,1602641043.0,Successful
25,c7d5d494-502c-ab75-4d6a-8431d4471846,scalingGroup,Launching a new EC2 instance: i-0d3e7f37add3d7bd4,"At 2020-10-14T03:07:48Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 2 to 3.",1602644871.978,1602644905.0,Successful
26,67b5d494-4ea8-4125-f3bb-8d98dbae1213,scalingGroup,Terminating EC2 instance: i-0dbb61f1045cbd6ca,At 2020-10-14T03:07:27Z an instance was taken out of service in response to a EC2 health check indicating it has been terminated or stopped.,1602644847.12,1602644857.0,Successful
27,f865d493-6488-252f-885a-6c0269a7cf88,scalingGroup,Launching a new EC2 instance: i-0dbb61f1045cbd6ca,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641011.2089999,1602641044.0,Successful
28,fc95d493-6482-fc36-0d1c-41701c05632f,scalingGroup,Launching a new EC2 instance: i-042aeb4e0ba6d32c1,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.88,1602641043.0,Successful
29,7315d493-6481-4884-49a4-7c5a8497aa22,scalingGroup,Launching a new EC2 instance: i-05f2bbd283284ae1c,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.77,1602641043.0,Successful
30,c7d5d494-502c-ab75-4d6a-8431d4471846,scalingGroup,Launching a new EC2 instance: i-0d3e7f37add3d7bd4,"At 2020-10-14T03:07:48Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 2 to 3.",1602644871.978,1602644905.0,Successful
31,67b5d494-4ea8-4125-f3bb-8d98dbae1213,scalingGroup,Terminating EC2 instance: i-0dbb61f1045cbd6ca,At 2020-10-14T03:07:27Z an instance was taken out of service in response to a EC2 health check indicating it has been terminated or stopped.,1602644847.12,1602644857.0,Successful
32,f865d493-6488-252f-885a-6c0269a7cf88,scalingGroup,Launching a new EC2 instance: i-0dbb61f1045cbd6ca,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641011.209,1602641044.0,Successful
33,fc95d493-6482-fc36-0d1c-41701c05632f,scalingGroup,Launching a new EC2 instance: i-042aeb4e0ba6d32c1,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.88,1602641043.0,Successful
34,7315d493-6481-4884-49a4-7c5a8497aa22,scalingGroup,Launching a new EC2 instance: i-05f2bbd283284ae1c,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641010.77,1602641043.0,Successful
35,c7d5d494-502c-ab75-4d6a-8431d4471846,scalingGroup,Launching a new EC2 instance: i-0d3e7f37add3d7bd4,"At 2020-10-14T03:07:48Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 2 to 3.",1602644871.978,1602644905.0,Successful
36,67b5d494-4ea8-4125-f3bb-8d98dbae1213,scalingGroup,Terminating EC2 instance: i-0dbb61f1045cbd6ca,At 2020-10-14T03:07:27Z an instance was taken out of service in response to a EC2 health check indicating it has been terminated or stopped.,1602644847.12,1602644857.0,Successful
37,f865d493-6488-252f-885a-6c0269a7cf88,scalingGroup,Launching a new EC2 instance: i-0dbb61f1045cbd6ca,"At 2020-10-14T02:03:23Z a user request created an AutoScalingGroup changing the desired capacity from 0 to 3.  At 2020-10-14T02:03:27Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 3.",1602641011.2089999,1602641044.0,Successful
